date_excel;month;year;day;date;population;vaccination;dose1;dose2;dose1_cum;dose2_cum;vaccination_cum;infections_stadt;infections_lkr;immune_infect;immune_vac;immune;
44307;4;2021;21;2021-4-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44308;4;2021;22;2021-4-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44309;4;2021;23;2021-4-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44310;4;2021;24;2021-4-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44311;4;2021;25;2021-4-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44312;4;2021;26;2021-4-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44313;4;2021;27;2021-4-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44314;4;2021;28;2021-4-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44315;4;2021;29;2021-4-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44316;4;2021;30;2021-4-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44317;5;2021;1;2021-5-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44318;5;2021;2;2021-5-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44319;5;2021;3;2021-5-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44320;5;2021;4;2021-5-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44321;5;2021;5;2021-5-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44322;5;2021;6;2021-5-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44323;5;2021;7;2021-5-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44324;5;2021;8;2021-5-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44325;5;2021;9;2021-5-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44326;5;2021;10;2021-5-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44327;5;2021;11;2021-5-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44328;5;2021;12;2021-5-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44329;5;2021;13;2021-5-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44330;5;2021;14;2021-5-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44331;5;2021;15;2021-5-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44332;5;2021;16;2021-5-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44333;5;2021;17;2021-5-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44334;5;2021;18;2021-5-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44335;5;2021;19;2021-5-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44336;5;2021;20;2021-5-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44337;5;2021;21;2021-5-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
